mod,noun,full
abstract,concept,abstract concept
academic,achievement,academic achievement
academic,career,academic career
academic,circle,academic circle
academic,community,academic community
academic,debate,academic debate
academic,discipline,academic discipline
academic,discourse,academic discourse
academic,institution,academic institution
academic,journal,academic journal
academic,life,academic life
academic,performance,academic performance
academic,research,academic research
academic,skill,academic skill
academic,study,academic study
academic,success,academic success
academic,work,academic work
academic,world,academic world
academic,write,academic write
academic,year,academic year
accept,responsibility,accept responsibility
acceptable,behaviour,acceptable behaviour
accurate,assessment,accurate assessment
accurate,description,accurate description
accurate,information,accurate information
accurate,measurement,accurate measurement
accurate,picture,accurate picture
accurate,record,accurate record
achieve,goal,achieve goal
achieve,objective,achieve objective
achieve,outcome,achieve outcome
acquire,knowledge,acquire knowledge
active,involvement,active involvement
active,participant,active participant
active,participation,active participation
active,role,active role
acutely,aware,acutely aware
add,information,add information
additional,cost,additional cost
additional,information,additional information
additional,problem,additional problem
additional,resource,additional resource
additional,support,additional support
address,issue,address issue
administrative,practice,administrative practice
adopt,approach,adopt approach
adopt,procedure,adopt procedure
advanced,economy,advanced economy
advanced,technology,advanced technology
adverse,effect,adverse effect
adverse,reaction,adverse reaction
affect,development,affect development
affect,outcome,affect outcome
allocate,resource,allocate resource
allow,access,allow access
almost,identical,almost identical
alternative,approach,alternative approach
alternative,explanation,alternative explanation
alternative,form,alternative form
alternative,interpretation,alternative interpretation
alternative,mean,alternative mean
alternative,method,alternative method
alternative,model,alternative model
alternative,solution,alternative solution
alternative,source,alternative source
alternative,strategy,alternative strategy
alternative,view,alternative view
alternative,way,alternative way
ample,evidence,ample evidence
analytical,approach,analytical approach
analytical,tool,analytical tool
anecdotal,evidence,anecdotal evidence
annual,conference,annual conference
annual,meeting,annual meeting
annual,rate,annual rate
annual,report,annual report
annual,review,annual review
apply,equally,apply equally
apply,method,apply method
apply,theory,apply theory
appropriate,action,appropriate action
appropriate,behaviour,appropriate behaviour
appropriate,condition,appropriate condition
appropriate,datum,appropriate datum
appropriate,form,appropriate form
appropriate,language,appropriate language
appropriate,level,appropriate level
appropriate,point,appropriate point
appropriate,response,appropriate response
appropriate,skill,appropriate skill
appropriate,treatment,appropriate treatment
appropriate,way,appropriate way
armed,conflict,armed conflict
artificial,intelligence,artificial intelligence
assess,impact,assess impact
assessment,process,assessment process
associate,factor,associate factor
assume,responsibility,assume responsibility
assume,role,assume role
atomic,energy,atomic energy
attend,conference,attend conference
available,datum,available datum
available,evidence,available evidence
available,information,available information
available,resource,available resource
average,score,average score
background,knowledge,background knowledge
basic,assumption,basic assumption
basic,component,basic component
basic,concept,basic concept
basic,element,basic element
basic,function,basic function
basic,information,basic information
basic,premise,basic premise
basic,principle,basic principle
basic,research,basic research
basic,structure,basic structure
basic,technique,basic technique
bear,resemblance,bear resemblance
become,apparent,become apparent
become,available,become available
become,aware,become aware
become,blur,become blur
become,establish,become establish
become,evident,become evident
become,focus,become focus
become,independent,become independent
become,involve,become involve
become,obvious,become obvious
become,source,become source
become,visible,become visible
become,widespread,become widespread
begin,process,begin process
behave,differently,behave differently
beneficial,effect,beneficial effect
binary,opposition,binary opposition
binary,system,binary system
biological,evolution,biological evolution
biological,science,biological science
biological,sex,biological sex
brief,account,brief account
brief,description,brief description
brief,discussion,brief discussion
brief,history,brief history
brief,introduction,brief introduction
brief,overview,brief overview
brief,period,brief period
brief,review,brief review
brief,summary,brief summary
brief,time,brief time
broad,agreement,broad agreement
broad,category,broad category
broad,context,broad context
broad,definition,broad definition
broad,range,broad range
broad,spectrum,broad spectrum
broadly,similar,broadly similar
business,sector,business sector
business,transaction,business transaction
capitalist,country,capitalist country
capitalist,economy,capitalist economy
capitalist,society,capitalist society
capitalist,system,capitalist system
capitalist,world,capitalist world
career,development,career development
career,opportunity,career opportunity
careful,analysis,careful analysis
careful,attention,careful attention
careful,consideration,careful consideration
careful,think,careful think
carry,information,carry information
carryout,research,carryout research
carryout,task,carryout task
cast,doubt,cast doubt
causal,link,causal link
causal,relation,causal relation
causal,relationship,causal relationship
cause,consequence,cause consequence
cause,stress,cause stress
central,authority,central authority
central,concept,central concept
central,concern,central concern
central,control,central control
central,core,central core
central,feature,central feature
central,focus,central focus
central,government,central government
central,importance,central importance
central,issue,central issue
central,part,central part
central,point,central point
central,position,central position
central,problem,central problem
central,question,central question
central,role,central role
central,tenet,central tenet
central,theme,central theme
certain,aspect,certain aspect
certain,assumption,certain assumption
certain,characteristic,certain characteristic
certain,circumstance,certain circumstance
change,attitude,change attitude
change,attitude,change attitude
change,circumstance,change circumstance
change,constantly,change constantly
change,dramatically,change dramatically
change,nature,change nature
change,need,change need
change,pattern,change pattern
change,rapidly,change rapidly
change,world,change world
characteristic,feature,characteristic feature
chemical,reaction,chemical reaction
civil,case,civil case
civil,society,civil society
class,consciousness,class consciousness
classic,example,classic example
classic,study,classic study
classic,text,classic text
classic,work,classic work
classical,theory,classical theory
clear,boundary,clear boundary
clear,distinction,clear distinction
clear,evidence,clear evidence
clear,focus,clear focus
clear,indication,clear indication
clear,relationship,clear relationship
clear,statement,clear statement
clear,structure,clear structure
clearly,evident,clearly evident
clearly,important,clearly important
clearly,visible,clearly visible
climate,change,climate change
climatic,condition,climatic condition
close,contact,close contact
close,examination,close examination
close,inspection,close inspection
close,look,close look
close,proximity,close proximity
close,relationship,close relationship
close,scrutiny,close scrutiny
cognitive,ability,cognitive ability
cognitive,development,cognitive development
cognitive,skill,cognitive skill
collaborative,learn,collaborative learn
collect,datum,collect datum
collect,information,collect information
collective,action,collective action
collective,identity,collective identity
collective,memory,collective memory
combine,effect,combine effect
comeinto,conflict,comeinto conflict
comeinto,contact,comeinto contact
commercial,activity,commercial activity
commercial,transaction,commercial transaction
commit,crime,commit crime
commit,offence,commit offence
common,ancestor,common ancestor
common,approach,common approach
common,assumption,common assumption
common,characteristic,common characteristic
common,culture,common culture
common,error,common error
common,feature,common feature
common,goal,common goal
common,method,common method
common,source,common source
common,theme,common theme
common,usage,common usage
communicate,effectively,communicate effectively
comparative,analysis,comparative analysis
comparative,research,comparative research
comparative,study,comparative study
compelling,argument,compelling argument
compelling,evidence,compelling evidence
compelling,reason,compelling reason
competitive,market,competitive market
competitive,pressure,competitive pressure
complete,task,complete task
complex,area,complex area
complex,interaction,complex interaction
complex,issue,complex issue
complex,pattern,complex pattern
complex,problem,complex problem
complex,process,complex process
complex,question,complex question
complex,relationship,complex relationship
complex,set,complex set
complex,situation,complex situation
complex,structure,complex structure
complex,system,complex system
comprehensive,account,comprehensive account
comprehensive,approach,comprehensive approach
comprehensive,overview,comprehensive overview
comprehensive,review,comprehensive review
comprehensive,system,comprehensive system
conceptual,framework,conceptual framework
concert,effort,concert effort
conclude,remark,conclude remark
conclude,section,conclude section
conditional,probability,conditional probability
conduct,analysis,conduct analysis
conduct,interview,conduct interview
conduct,research,conduct research
conduct,study,conduct study
conduct,survey,conduct survey
confidence,interval,confidence interval
conflict,interest,conflict interest
conflict,resolution,conflict resolution
consider,appropriate,consider appropriate
consider,aspect,consider aspect
consider,impact,consider impact
consider,implication,consider implication
consider,issue,consider issue
consider,possibility,consider possibility
consider,relevant,consider relevant
consider,role,consider role
considerable,amount,considerable amount
considerable,attention,considerable attention
considerable,debate,considerable debate
considerable,degree,considerable degree
considerable,detail,considerable detail
considerable,effort,considerable effort
considerable,evidence,considerable evidence
considerable,extent,considerable extent
considerable,importance,considerable importance
considerable,influence,considerable influence
considerable,interest,considerable interest
considerable,research,considerable research
considerable,support,considerable support
considerable,variation,considerable variation
consistent,pattern,consistent pattern
consistent,result,consistent result
constant,rate,constant rate
constituent,element,constituent element
constituent,part,constituent part
contain,element,contain element
contain,information,contain information
contemporary,debate,contemporary debate
contemporary,issue,contemporary issue
contemporary,life,contemporary life
contemporary,society,contemporary society
contemporary,world,contemporary world
contextual,factor,contextual factor
continue,existence,continue existence
continue,growth,continue growth
continue,use,continue use
continuous,process,continuous process
contribute,significantly,contribute significantly
contributeto,development,contributeto development
controversial,issue,controversial issue
conventional,view,conventional view
conventional,wisdom,conventional wisdom
convey,information,convey information
convey,meaning,convey meaning
convey,message,convey message
convince,evidence,convince evidence
cope,strategy,cope strategy
core,area,core area
core,element,core element
core,issue,core issue
core,skill,core skill
core,value,core value
correct,error,correct error
correct,interpretation,correct interpretation
counter,argument,counter argument
cover,area,cover area
cover,range,cover range
cover,topic,cover topic
create,condition,create condition
create,environment,create environment
create,impression,create impression
create,opportunity,create opportunity
create,opportunity,create opportunity
create,problem,create problem
creative,process,creative process
creative,think,creative think
creative,work,creative work
criminal,offence,criminal offence
critical,analysis,critical analysis
critical,approach,critical approach
critical,attention,critical attention
critical,essay,critical essay
critical,evaluation,critical evaluation
critical,examination,critical examination
critical,factor,critical factor
critical,importance,critical importance
critical,inquiry,critical inquiry
critical,introduction,critical introduction
critical,issue,critical issue
critical,perspective,critical perspective
critical,point,critical point
critical,reflection,critical reflection
critical,review,critical review
critical,role,critical role
critical,scrutiny,critical scrutiny
critical,theory,critical theory
critical,think,critical think
critical,write,critical write
crucial,difference,crucial difference
crucial,factor,crucial factor
crucial,importance,crucial importance
crucial,part,crucial part
crucial,point,crucial point
crucial,question,crucial question
crucial,role,crucial role
cultural,activity,cultural activity
cultural,aspect,cultural aspect
cultural,attitude,cultural attitude
cultural,background,cultural background
cultural,boundary,cultural boundary
cultural,change,cultural change
cultural,context,cultural context
cultural,difference,cultural difference
cultural,dimension,cultural dimension
cultural,diversity,cultural diversity
cultural,factor,cultural factor
cultural,heritage,cultural heritage
cultural,history,cultural history
cultural,identity,cultural identity
cultural,influence,cultural influence
cultural,institution,cultural institution
cultural,issue,cultural issue
cultural,life,cultural life
cultural,norm,cultural norm
cultural,perspective,cultural perspective
cultural,phenomenon,cultural phenomenon
cultural,practice,cultural practice
cultural,significance,cultural significance
cultural,theory,cultural theory
cultural,tradition,cultural tradition
cultural,value,cultural value
culturally,specific,culturally specific
current,climate,current climate
current,issue,current issue
current,policy,current policy
current,research,current research
current,status,current status
current,technology,current technology
current,trend,current trend
currently,available,currently available
daily,live,daily live
datum,gathering,datum gathering
datum,set,datum set
deal,issue,deal issue
deem,appropriate,deem appropriate
deem,necessary,deem necessary
deep,level,deep level
deep,understanding,deep understanding
define,characteristic,define characteristic
define,concept,define concept
define,feature,define feature
deliberate,attempt,deliberate attempt
democratic,institution,democratic institution
democratic,process,democratic process
democratic,society,democratic society
democratic,state,democratic state
demographic,change,demographic change
demographic,characteristic,demographic characteristic
demographic,factor,demographic factor
demonstrate,competence,demonstrate competence
deny,access,deny access
dependent,variable,dependent variable
describe,method,describe method
describe,procedure,describe procedure
describe,process,describe process
descriptive,statistic,descriptive statistic
desire,outcome,desire outcome
detail,analysis,detail analysis
detail,examination,detail examination
detail,information,detail information
detail,study,detail study
develop,approach,develop approach
develop,argument,develop argument
develop,method,develop method
develop,strategy,develop strategy
develop,technique,develop technique
develop,theory,develop theory
developmental,process,developmental process
developmental,stage,developmental stage
diagnostic,test,diagnostic test
differ,considerably,differ considerably
differ,significantly,differ significantly
differ,widely,differ widely
digital,information,digital information
digital,medium,digital medium
digital,technology,digital technology
direct,access,direct access
direct,communication,direct communication
direct,consequence,direct consequence
direct,contact,direct contact
direct,evidence,direct evidence
direct,impact,direct impact
direct,involvement,direct involvement
direct,link,direct link
direct,observation,direct observation
direct,relationship,direct relationship
direct,role,direct role
directly,proportional,directly proportional
directly,responsible,directly responsible
disclose,information,disclose information
discuss,issue,discuss issue
discuss,topic,discuss topic
disposable,income,disposable income
distinct,group,distinct group
distinct,type,distinct type
distinctive,feature,distinctive feature
distinguish,feature,distinguish feature
diverse,background,diverse background
diverse,group,diverse group
diverse,range,diverse range
divide,line,divide line
documentary,evidence,documentary evidence
domestic,market,domestic market
domestic,sphere,domestic sphere
domestic,violence,domestic violence
dominant,culture,dominant culture
dominant,discourse,dominant discourse
dominant,form,dominant form
dominant,group,dominant group
dominant,ideology,dominant ideology
dominant,paradigm,dominant paradigm
dominant,position,dominant position
dominant,role,dominant role
dramatic,change,dramatic change
dramatic,effect,dramatic effect
dramatic,increase,dramatic increase
draw,attention,draw attention
draw,conclusion,draw conclusion
draw,distinction,draw distinction
draw,line,draw line
drive,force,drive force
due,process,due process
dynamic,equilibrium,dynamic equilibrium
dynamic,nature,dynamic nature
dynamic,process,dynamic process
dynamic,system,dynamic system
earlier,discussion,earlier discussion
earlier,period,earlier period
earlier,research,earlier research
earlier,stage,earlier stage
earlier,study,earlier study
earlier,time,earlier time
earlier,version,earlier version
earlier,work,earlier work
early,decade,early decade
early,study,early study
easily,accessible,easily accessible
easy,access,easy access
economic,activity,economic activity
economic,affair,economic affair
economic,analysis,economic analysis
economic,benefit,economic benefit
economic,change,economic change
economic,condition,economic condition
economic,consequence,economic consequence
economic,context,economic context
economic,crisis,economic crisis
economic,exploitation,economic exploitation
economic,factor,economic factor
economic,force,economic force
economic,goal,economic goal
economic,growth,economic growth
economic,inequality,economic inequality
economic,integration,economic integration
economic,interest,economic interest
economic,policy,economic policy
economic,power,economic power
economic,prosperity,economic prosperity
economic,reform,economic reform
economic,relation,economic relation
economic,relationship,economic relationship
economic,resource,economic resource
economic,sector,economic sector
economic,stability,economic stability
economic,status,economic status
economic,structure,economic structure
economic,success,economic success
economic,system,economic system
economic,theory,economic theory
economic,value,economic value
economic,welfare,economic welfare
educational,institution,educational institution
educational,opportunity,educational opportunity
educational,policy,educational policy
educational,programme,educational programme
educational,provision,educational provision
educational,qualification,educational qualification
educational,research,educational research
educational,set,educational set
educational,system,educational system
effective,communication,effective communication
effective,implementation,effective implementation
effective,intervention,effective intervention
effective,management,effective management
effective,method,effective method
effective,participation,effective participation
effective,policy,effective policy
effective,treatment,effective treatment
electronic,access,electronic access
electronic,communication,electronic communication
electronic,medium,electronic medium
electronic,resource,electronic resource
electronic,version,electronic version
emotional,impact,emotional impact
emotional,intelligence,emotional intelligence
emotional,reaction,emotional reaction
emotional,response,emotional response
emotional,support,emotional support
empirical,datum,empirical datum
empirical,evidence,empirical evidence
empirical,investigation,empirical investigation
empirical,research,empirical research
empirical,study,empirical study
empirical,support,empirical support
empirical,work,empirical work
employ,method,employ method
employ,technique,employ technique
employment,opportunity,employment opportunity
encounter,difficulty,encounter difficulty
encounter,problem,encounter problem
encourage,development,encourage development
engagein,activity,engagein activity
enhance,learn,enhance learn
enhance,performance,enhance performance
enormous,amount,enormous amount
enormous,impact,enormous impact
entire,period,entire period
entire,range,entire range
entirely,clear,entirely clear
entirely,different,entirely different
entirely,new,entirely new
environmental,change,environmental change
environmental,concern,environmental concern
environmental,consequence,environmental consequence
environmental,damage,environmental damage
environmental,degradation,environmental degradation
environmental,effect,environmental effect
environmental,factor,environmental factor
environmental,impact,environmental impact
environmental,issue,environmental issue
environmental,policy,environmental policy
environmental,pollution,environmental pollution
environmental,protection,environmental protection
equal,access,equal access
equal,opportunity,equal opportunity
equal,status,equal status
equal,treatment,equal treatment
equally,important,equally important
equally,likely,equally likely
equally,valid,equally valid
equally,TRUE,equally TRUE
essential,component,essential component
essential,element,essential element
essential,feature,essential feature
essential,function,essential function
essential,information,essential information
essential,role,essential role
establish,order,establish order
establish,practice,establish practice
establish,principle,establish principle
establish,relationship,establish relationship
ethical,consideration,ethical consideration
ethical,dilemma,ethical dilemma
ethical,issue,ethical issue
ethical,principle,ethical principle
ethical,problem,ethical problem
ethical,question,ethical question
ethnic,community,ethnic community
ethnic,difference,ethnic difference
ethnic,diversity,ethnic diversity
ethnic,group,ethnic group
ethnic,identity,ethnic identity
ethnic,minority,ethnic minority
ethnic,origin,ethnic origin
ever,change,ever change
ever,increase,ever increase
evolutionary,process,evolutionary process
evolutionary,theory,evolutionary theory
examine,role,examine role
exceptional,case,exceptional case
exceptional,circumstance,exceptional circumstance
exercise,authority,exercise authority
exist,datum,exist datum
exist,research,exist research
exist,structure,exist structure
expand,rapidly,expand rapidly
experience,difficulty,experience difficulty
experience,problem,experience problem
experiential,learn,experiential learn
experimental,condition,experimental condition
experimental,datum,experimental datum
experimental,design,experimental design
experimental,evidence,experimental evidence
experimental,method,experimental method
experimental,research,experimental research
experimental,result,experimental result
experimental,study,experimental study
experimental,work,experimental work
expert,opinion,expert opinion
explanatory,power,explanatory power
explore,further,explore further
explore,issue,explore issue
extend,period,extend period
extensive,research,extensive research
external,environment,external environment
external,factor,external factor
external,force,external force
external,influence,external influence
external,source,external source
external,threat,external threat
external,world,external world
extract,datum,extract datum
extract,information,extract information
extremely,complex,extremely complex
extremely,powerful,extremely powerful
extremely,sensitive,extremely sensitive
extremely,useful,extremely useful
extremely,valuable,extremely valuable
face,challenge,face challenge
face,difficulty,face difficulty
face,dilemma,face dilemma
face,discrimination,face discrimination
face,problem,face problem
facial,expression,facial expression
facilitate,development,facilitate development
factual,information,factual information
fair,treatment,fair treatment
fairly,clear,fairly clear
fairly,common,fairly common
fairly,obvious,fairly obvious
fairly,straightforward,fairly straightforward
fallinto,category,fallinto category
federal,agency,federal agency
federal,government,federal government
federal,state,federal state
feminist,movement,feminist movement
field,research,field research
final,analysis,final analysis
final,answer,final answer
final,chapter,final chapter
final,decision,final decision
final,outcome,final outcome
final,phase,final phase
final,point,final point
final,position,final position
final,product,final product
final,result,final result
final,section,final section
final,stage,final stage
final,step,final step
final,version,final version
financial,affair,financial affair
financial,assistance,financial assistance
financial,institution,financial institution
financial,management,financial management
financial,market,financial market
financial,problem,financial problem
financial,resource,financial resource
financial,support,financial support
find,evidence,find evidence
find,information,find information
finite,number,finite number
first,author,first author
first,contact,first contact
first,draft,first draft
first,encounter,first encounter
first,generation,first generation
first,impression,first impression
first,phase,first phase
first,priority,first priority
flexible,approach,flexible approach
flexible,strategy,flexible strategy
focal,point,focal point
focus,attention,focus attention
focuson,aspect,focuson aspect
follow,chapter,follow chapter
follow,format,follow format
follow,instruction,follow instruction
follow,procedure,follow procedure
foreign,currency,foreign currency
foreign,investment,foreign investment
foreign,investor,foreign investor
foreign,policy,foreign policy
formal,structure,formal structure
free,access,free access
free,movement,free movement
freely,available,freely available
fulfil,obligation,fulfil obligation
full,analysis,full analysis
full,employment,full employment
full,information,full information
full,participation,full participation
full,potential,full potential
full,range,full range
fuller,discussion,fuller discussion
fully,aware,fully aware
functional,requirement,functional requirement
fundamental,aspect,fundamental aspect
fundamental,assumption,fundamental assumption
fundamental,change,fundamental change
fundamental,component,fundamental component
fundamental,difference,fundamental difference
fundamental,importance,fundamental importance
fundamental,principle,fundamental principle
fundamental,problem,fundamental problem
fundamental,question,fundamental question
fundamentally,different,fundamentally different
further,analysis,further analysis
further,consideration,further consideration
further,development,further development
further,evidence,further evidence
further,explanation,further explanation
further,information,further information
further,investigation,further investigation
further,research,further research
further,study,further study
future,development,future development
future,prospect,future prospect
future,research,future research
future,study,future study
gain,access,gain access
gain,information,gain information
gain,insight,gain insight
gather,datum,gather datum
gather,information,gather information
gender,equality,gender equality
gender,stereotype,gender stereotype
general,agreement,general agreement
general,approach,general approach
general,argument,general argument
general,aspect,general aspect
general,category,general category
general,conclusion,general conclusion
general,consensus,general consensus
general,definition,general definition
general,feature,general feature
general,formula,general formula
general,overview,general overview
general,principle,general principle
general,statement,general statement
general,tendency,general tendency
general,theory,general theory
general,trend,general trend
genetic,variation,genetic variation
geographic,area,geographic area
geographic,distribution,geographic distribution
geographic,location,geographic location
get,involve,get involve
give,access,give access
give,consent,give consent
give,consideration,give consideration
give,emphasis,give emphasis
give,evidence,give evidence
give,explanation,give explanation
give,feedback,give feedback
give,guidance,give guidance
give,impression,give impression
give,indication,give indication
give,information,give information
give,information,give information
give,insight,give insight
give,overview,give overview
give,period,give period
give,presentation,give presentation
give,priority,give priority
give,treatment,give treatment
global,capitalism,global capitalism
global,context,global context
global,culture,global culture
global,economy,global economy
global,issue,global issue
global,market,global market
global,marketplace,global marketplace
global,medium,global medium
global,network,global network
global,perspective,global perspective
global,shift,global shift
global,structure,global structure
global,trade,global trade
global,village,global village
government,control,government control
government,department,government department
government,expenditure,government expenditure
government,intervention,government intervention
government,policy,government policy
graphical,representation,graphical representation
great,accuracy,great accuracy
great,autonomy,great autonomy
great,awareness,great awareness
great,diversity,great diversity
great,emphasis,great emphasis
great,equality,great equality
great,flexibility,great flexibility
great,impact,great impact
great,likelihood,great likelihood
great,majority,great majority
great,potential,great potential
great,proportion,great proportion
great,range,great range
great,significance,great significance
grow,awareness,grow awareness
grow,rapidly,grow rapidly
grow,trend,grow trend
guide,principle,guide principle
hardly,surprising,hardly surprising
have,access,have access
have,consequence,have consequence
have,limitation,have limitation
have,obligation,have obligation
have,potential,have potential
have,strategy,have strategy
have,tendency,have tendency
heat,debate,heat debate
hierarchical,structure,hierarchical structure
high,concentration,high concentration
high,correlation,high correlation
high,degree,high degree
high,education,high education
high,expectation,high expectation
high,frequency,high frequency
high,incidence,high incidence
high,intensity,high intensity
high,level,high level
high,order,high order
high,percentage,high percentage
high,priority,high priority
high,probability,high probability
high,profile,high profile
high,proportion,high proportion
high,quality,high quality
high,rate,high rate
high,score,high score
high,standard,high standard
high,status,high status
high,turnover,high turnover
high,unemployment,high unemployment
high,value,high value
highly,competitive,highly competitive
highly,complex,highly complex
highly,controversial,highly controversial
highly,critical,highly critical
highly,dependent,highly dependent
highly,desirable,highly desirable
highly,effective,highly effective
highly,efficient,highly efficient
highly,influential,highly influential
highly,likely,highly likely
highly,problematic,highly problematic
highly,relevant,highly relevant
highly,selective,highly selective
highly,sensitive,highly sensitive
highly,significant,highly significant
highly,skilled,highly skilled
highly,sophisticated,highly sophisticated
highly,successful,highly successful
highly,unlikely,highly unlikely
highly,variable,highly variable
historical,account,historical account
historical,analysis,historical analysis
historical,background,historical background
historical,change,historical change
historical,circumstance,historical circumstance
historical,context,historical context
historical,datum,historical datum
historical,development,historical development
historical,event,historical event
historical,evidence,historical evidence
historical,factor,historical factor
historical,interpretation,historical interpretation
historical,knowledge,historical knowledge
historical,period,historical period
historical,perspective,historical perspective
historical,reality,historical reality
historical,record,historical record
historical,root,historical root
historical,study,historical study
historical,write,historical write
historically,specific,historically specific
hold,conference,hold conference
holistic,approach,holistic approach
homogeneous,group,homogeneous group
huge,amount,huge amount
human,activity,human activity
human,behaviour,human behaviour
human,interaction,human interaction
human,society,human society
human,specie,human specie
identify,area,identify area
identify,factor,identify factor
identify,feature,identify feature
identify,issue,identify issue
identify,problem,identify problem
identify,way,identify way
immediate,environment,immediate environment
immediately,apparent,immediately apparent
immediately,follow,immediately follow
immediately,obvious,immediately obvious
immediately,precede,immediately precede
import,good,import good
import,product,import product
impose,constraint,impose constraint
impose,limitation,impose limitation
impose,restriction,impose restriction
improve,performance,improve performance
increase,awareness,increase awareness
increase,awareness,increase awareness
increase,awareness,increase awareness
increase,competition,increase competition
increase,complexity,increase complexity
increase,demand,increase demand
increase,demand,increase demand
increase,dramatically,increase dramatically
increase,emphasis,increase emphasis
increase,importance,increase importance
increase,importance,increase importance
increase,interest,increase interest
increase,interest,increase interest
increase,level,increase level
increase,likelihood,increase likelihood
increase,number,increase number
increase,pressure,increase pressure
increase,pressure,increase pressure
increase,production,increase production
increase,productivity,increase productivity
increase,proportion,increase proportion
increase,risk,increase risk
increase,tendency,increase tendency
increase,trend,increase trend
increasingly,aware,increasingly aware
increasingly,common,increasingly common
increasingly,complex,increasingly complex
increasingly,difficult,increasingly difficult
increasingly,important,increasingly important
increasingly,popular,increasingly popular
increasingly,sophisticated,increasingly sophisticated
independent,state,independent state
independent,variable,independent variable
indigenous,people,indigenous people
indigenous,population,indigenous population
individual,behaviour,individual behaviour
individual,case,individual case
individual,characteristic,individual characteristic
individual,choice,individual choice
individual,component,individual component
individual,difference,individual difference
individual,element,individual element
individual,experience,individual experience
individual,interest,individual interest
individual,item,individual item
individual,need,individual need
individual,response,individual response
individual,responsibility,individual responsibility
individual,right,individual right
individual,variable,individual variable
individual,variation,individual variation
industrial,capitalism,industrial capitalism
industrial,country,industrial country
industrial,development,industrial development
industrial,production,industrial production
industrial,society,industrial society
industrialize,country,industrialize country
industrialize,nation,industrialize nation
infinite,number,infinite number
inform,consent,inform consent
information,flow,information flow
information,gathering,information gathering
information,processing,information processing
information,retrieval,information retrieval
information,sharing,information sharing
initial,period,initial period
initial,phase,initial phase
initial,position,initial position
initial,research,initial research
initial,stage,initial stage
institutional,arrangement,institutional arrangement
institutional,context,institutional context
institutional,framework,institutional framework
institutional,structure,institutional structure
institutional,support,institutional support
integral,part,integral part
integrate,approach,integrate approach
integrate,system,integrate system
intellectual,property,intellectual property
intellectual,work,intellectual work
intensive,study,intensive study
interested,party,interested party
internal,affair,internal affair
internal,conflict,internal conflict
internal,control,internal control
internal,market,internal market
internal,organ,internal organ
internal,structure,internal structure
international,agreement,international agreement
international,body,international body
international,community,international community
international,conference,international conference
international,context,international context
international,journal,international journal
international,organization,international organization
international,treaty,international treaty
internet,access,internet access
interpersonal,relationship,interpersonal relationship
interpersonal,skill,interpersonal skill
interpret,datum,interpret datum
intimate,relationship,intimate relationship
intrinsic,value,intrinsic value
introduce,legislation,introduce legislation
introductory,chapter,introductory chapter
introductory,section,introductory section
introductory,text,introductory text
keenly,aware,keenly aware
key,area,key area
key,aspect,key aspect
key,characteristic,key characteristic
key,component,key component
key,concept,key concept
key,element,key element
key,factor,key factor
key,feature,key feature
key,finding,key finding
key,issue,key issue
key,objective,key objective
key,player,key player
key,policy,key policy
key,principle,key principle
key,role,key role
key,source,key source
key,text,key text
key,theme,key theme
key,topic,key topic
large,majority,large majority
large,part,large part
large,percentage,large percentage
large,portion,large portion
large,proportion,large proportion
large,quantity,large quantity
large,range,large range
largely,responsible,largely responsible
later,work,later work
later,writing,later writing
lead,role,lead role
leadto,conclusion,leadto conclusion
learn,activity,learn activity
learn,difficulty,learn difficulty
learn,environment,learn environment
learn,objective,learn objective
learn,outcome,learn outcome
learn,process,learn process
learn,resource,learn resource
learn,strategy,learn strategy
